0xac2
0xb19
0x150d
0x15bc
0x1b7d
0x21bd
0x2741
0x2952
0x2b40
0x31e0
0x3376
0x3680
0x3725
0x3a0b
0x3bf8
0x3ed4
0x3f4f
0x3fc8
0x404e
0x414e
0x4253
0x43ec
0x443e
0x46e3
0x481e
0x528f
