0xc34	getReserves()
0xd17	balanceOf(address)
0x1008	token1()
0x109d	token0()
0x1223	token1()
0x12b8	token0()
0x1719	balanceOf(address)
0x80dS0x1d6	transferToken(address,uint256)
0x1dc5S0x511	transferToken(address,uint256)
0x1e2aS0x511	mint(address,uint256)
0x1eeaS0x511	transferToken(address,uint256)
0x6d5S0x1bf	balanceOf(address)
