0x339b	0x3520	0x33ae
0x22c	0x71a	0x366e
0x258	0x7e3	0x36a1
0x3cf	0xe86	0x387f
0x444	0x1093	0x3923
0x687	0x199d	0x3c8a
0x10a5	0xe86	0x3e6d
0x169b	0x199d	0x16a4
0x3f75	0x7e3	0x3f4a
0x22cf	0x2708	0x2324
0x233f	0x271e	0x2348
0x2658B0x16c0	0x312d	0x2669B0x16c0
0x8c7B0x282	0x1bf2	0x3dd6B0x282
0xd20B0x366	0x2227	0xd7bB0x366
0xd8fB0x366	0x1bf2	0xe18B0x366
0x3ee2B0x4d7	0x7e3	0x134eB0x4d7
0x1561B0x516	0x2227	0x15b4B0x516
0x1809B0x618	0x2708	0x3f28B0x618
0x1af6B0x6cc	0x271e	0x3fbfB0x6cc
0x2532B0x16ba	0x7e3	0x4074B0x16ba
0xaf8B0x2f3	0x1093	0xb0bB0x2f3
0xb25B0x2f3	0x71a	0xb2eB0x2f3
0x2b12B0x211eB0x2f3	0x3381	0x4111B0x211eB0x2f3
0x2a7eB0x2118B0x2f3	0xe86	0x40e6B0x2118B0x2f3
