0x9bd
0x1138
0x1394
0x1819
0x1a6e
0x2a07
0x3053
0x3752
0x3b54
0x42f9S0x41b3
0x42fdS0x41b3
0x43aaS0x41b3
0x43c6S0x41b3
0x42d5S0x41b3
0x43b6S0x41b3
0x42f9S0x4118
0x42fdS0x4118
0x43aaS0x4118
0x43c6S0x4118
0x42d5S0x4118
0x43b6S0x4118
