0x60	0x46db
0x1a	0xd1
0x25	0x8a
0x30	0x64
0x86	0x46fc
0xcd	0x471d
0xd9	0x123
0x11f	0x473e
0x16c	0x174
0x176	0x475f
0x183	0x18b
0x197	0x6d50x168
0x19c	0x4780
0x1a9	0x1b1
0x1c3	0x84d
0x1cb	0x1d3
0x1d5	0x47a1
0x1dd	0x47c2
0x1ea	0x1f2
0x204	0xe96
0x20c	0x214
0x216	0x47e3
0x223	0x22b
0x237	0x1368
0x251	0x259
0x25b	0x4814
0x268	0x270
0x282	0x1525
0x28a	0x292
0x294	0x4835
0x297	0x1a42
0x29f	0x2a7
0x2a9	0x4866
0x2ac	0x1bef
0x2d0	0x2d8
0x2da	0x48a1
0x2e7	0x2ef
0x301	0x1c07
0x309	0x311
0x313	0x48c2
0x320	0x328
0x33b	0x343
0x34d	0x355
0x36f	0x377
0x3bf	0x3c7
0x3d1	0x3d9
0x3f3	0x3fb
0x43e	0x1e80
0x448	0x450
0x452	0x459
0x455	0x2025
0x480	0x493
0x48f	0x47b
0x4a3	0x4c0
0x4d2	0x4da
0x4dc	0x4e3
0x4df	0x2045
0x4fb	0x503
0x505	0x48e3
0x508	0x2055
0x510	0x518
0x51a	0x491e
0x527	0x52f
0x53b	0x205a
0x543	0x54b
0x54d	0x493f
0x55a	0x562
0x574	0x220d
0x57c	0x584
0x586	0x4960
0x591	0x599
0x59b	0x4981
0x59e	0x26ec
0x5a6	0x5ae
0x5b0	0x49bc
0x5b3	0x26fb
0x5bb	0x5c3
0x5c5	0x49f7
0x5d2	0x5da
0x5f6	0x2713
0x5fe	0x606
0x608	0x4a18
0x615	0x61d
0x63b	0x2d4a
0x643	0x64b
0x64d	0x4a39
0x650	0x357d
0x658	0x660
0x662	0x4a6a
0x665	0x3584
0x66d	0x675
0x677	0x4a9b
0x684	0x68c
0x69e	0x3590
0x6a6	0x6ae
0x6b0	0x4abc
0x6bd	0x6c5
0x6d1	0x3992
0x85c	0x994
0x8a5	0x8ad
0x8b4	0x8c1
0x8cf	0x8d7
0x91b	0x923
0x92a	0x937
0x945	0x94d
0x950	0x994
0x99b	0x9d9
0x9e5	0xa26
0xa8a	0xa92
0xa99	0xaa6
0xaf2	0xafa
0xb01	0xb0e
0xb1c	0xb24
0xb77	0xb7f
0xb86	0xb93
0xba1	0xba9
0xbb2	0xc6d
0xbde	0xbed
0xc4c	0xc54
0xc5b	0xc68
0xea5	0xfdd
0xeee	0xef6
0xefd	0xf0a
0xf18	0xf20
0xf64	0xf6c
0xf73	0xf80
0xf8e	0xf96
0xf99	0xfdd
0x1019	0x1021
0x1028	0x1035
0x1043	0x104b
0x108f	0x1097
0x109e	0x10ab
0x10b9	0x10c1
0x10c4	0x110f
0x1116	0x1154
0x1160	0x11a1
0x1205	0x120d
0x1214	0x1221
0x126b	0x1273
0x127a	0x1287
0x1295	0x129d
0x12ef	0x12f7
0x12fe	0x130b
0x1372	0x13b0
0x13f7	0x13ff
0x1406	0x1413
0x1421	0x1429
0x1475	0x147d
0x1484	0x1491
0x149f	0x14a7
0x14ae	0x14d6
0x14b2	0x14d6
0x1534	0x166c
0x157d	0x1585
0x158c	0x1599
0x15a7	0x15af
0x15f3	0x15fb
0x1602	0x160f
0x161d	0x1625
0x1628	0x166c
0x16a8	0x16b0
0x16b7	0x16c4
0x16d2	0x16da
0x171e	0x1726
0x172d	0x173a
0x1748	0x1750
0x1753	0x179e
0x17ad	0x17f0
0x17f7	0x1835
0x1841	0x187b
0x18c1	0x18c9
0x18d0	0x18dd
0x18eb	0x18f3
0x1945	0x194d
0x1954	0x1961
0x19c9	0x19d1
0x19d8	0x19e5
0x1a4c	0x1a8a
0x1ad1	0x1ad9
0x1ae0	0x1aed
0x1afb	0x1b03
0x1b47	0x1b4f
0x1b56	0x1b63
0x1b71	0x1b79
0x1b7e	0x1ba2
0x1c4d	0x1c55
0x1c5c	0x1c69
0x1c77	0x1c7f
0x1c8d	0x1cc7
0x1d0d	0x1d15
0x1d1c	0x1d29
0x1d37	0x1d3f
0x1d83	0x1d8b
0x1d92	0x1d9f
0x1dad	0x1db5
0x1dfa	0x1e02
0x1e09	0x1e16
0x1e24	0x1e2c
0x1e30	0x4b00
0x1e8d	0x1e99
0x1e92	0x1e99
0x1e95	0x4205
0x1e9b	0x1ea7
0x1ea8	0x1ee2
0x1ef1	0x1f0d
0x1f0e	0x1f15
0x1f11	0x420b
0x1f16	0x1f1e
0x1f1a	0x421a
0x1f3f	0x1f79
0x1f83	0x200b
0x1f98	0x1f9d
0x1fb3	0x1fe2
0x1fc9	0x1fce
0x1fe4	0x2003
0x1fe8	0x2003
0x1ff1	0x1ff6
0x1fff	0x6d50x305
0x2007	0x1f7e
0x2010	0x4b23
0x20a0	0x20a8
0x20af	0x20bc
0x20ca	0x20d2
0x20e0	0x211d
0x216a	0x2172
0x2179	0x2186
0x2194	0x219c
0x21a1	0x21c5
0x2253	0x225b
0x2262	0x226f
0x227d	0x2285
0x2293	0x22cd
0x230a	0x2312
0x2319	0x2326
0x2334	0x233c
0x2380	0x2388
0x238f	0x239c
0x23aa	0x23b2
0x2415	0x241d
0x2424	0x2431
0x243f	0x2447
0x244b	0x24a7
0x2481	0x2489
0x2490	0x249d
0x24a3	0x4b48
0x24e5	0x24ed
0x24f4	0x2501
0x250f	0x2517
0x251b	0x4b6c
0x2722	0x285a
