0x0	__function_selector__
0x168	approveAll(address)
0x19b	repay(address,uint256)
0x1c7	unpause()
0x1dc	deposit(address,uint256)
0x208	claimForToken(address)
0x24d	borrow(address,uint256)
0x286	claim()
0x29b	COMP_ADDR()
0x2cc	fromCompound(address,uint256)
0x305	initialize(address[],address[],address)
0x444	version()
0x4ce	paused()
0x4f7	ETH_ADDR()
0x50c	withdrawCOMP(address)
0x53f	toCompound(address,uint256)
0x578	pause()
0x58d	globalConfig()
0x5a2	FIN_ADDR()
0x5b7	transfer(address,address,uint256)
0x5fa	liquidate(address,address,address)
0x63f	BLOCKS_PER_YEAR()
0x654	INT_UNIT()
0x654	ACCURACY()
0x669	withdraw(address,uint256)
0x6a2	withdrawAll(address)
0xcc3	0xcc3
0x255e	0x255e
0x4057	0x4057
0x416a	0x416a
0x41b3	0x41b3
0x4249	0x4249
0x4498	0x4498
0x46ba	()
0x46ba	fallback()
