0x10cd	0x124d
0x3387	0x3387
0x338d	0x354f
0x3a01	0x3b34
0x3eeb	0x3f1b
0x338d	0x4cce
0x377a	0x4d15
0x377a	0x4d3a
0x377a	0x4e91
0x377a	0x4ebb
0x3cc3	0x4fe0
0x3cc3	0x5004
0x3d74	0x5028
0x3eeb	0x5076
0x3f24	0x509d
0x3f6f	0x50c0
0x3fd0	0x50e3
0x3fea	0x5128
0x36be	0x371a0x36be
0x3720	0x371a0x3720
0x38ef	0x371a0x38ef
0x3931	0x371a0x3931
0x3973	0x39fb0x3973
0x36be	0x4cf00x36be
