0x9b	0x13c
0x137	0x430
0xded	0x88
0xdfc	0xf7
0xdff	0xff
0xe02	0x112
0xe05	0x129
0xdf0	0x8d
0xdf3	0xa2
0xdf6	0xb5
0xdf9	0xc8
0x277B0xb0	0x430
