0x31d	0xa35
0x856	0xf5b
0x198e	0x2c9
0x19e8	0x983
0x19a6	0x532
0x19eb	0x998
0x199a	0x499
0x19a0	0x4ea
0x19e2	0x92b
0x19e5	0x940
0x19cd	0x820
0x19dc	0x897
0x19df	0x8f0
0x1997	0x44c
0x19d6	0x85f
0x19d9	0x874
0x19d0	0x835
0x19d3	0x84a
0x19ca	0x7ed
0x19c4	0x7c3
0x19c7	0x7d8
0x19be	0x6e4
0x19c1	0x7ae
0x19b5	0x5f3
0x19b8	0x61e
0x19bb	0x6cf
0x19a3	0x51d
0x19a9	0x547
0x19ac	0x58a
0x19af	0x5ad
0x19b2	0x5de
0x1991	0x311
0x1994	0x39b
0x199d	0x4d5
0xac20x39b	0x1001
0xac20x6e4	0x1001
0xac2B0xdcf	0x1001
