0x2575	0x671	0x255e
0x25b0	0x6c1	0x2588
0x278c	0x761	0x2779
0x2aa7	0x801	0x29e0
0x2adb	0x851	0x2ab5
0x2b4f	0x851	0x2b48
0x2b6a	0x801	0x2b48
0x359	0xcfb	0x33c
0x3b9	0xd00	0x39e_0x1
0x5bb	0x1e22V0x58f	0x5a5
0xa070x275	0x9b8	0x9ea
0xa070x4b5	0x351f	0x3a53
0xa070x88d	0x2c3f	0x2c78
0xa070x8b6	0x2d4e	0x2d87
0xa070x8f0	0x2f02	0x2f3b
0xa070x926	0x307a	0x30b3
0xa070x3147	0x314e	0x31a6
0xa070x38f9	0x3903	0x39fc
