0xdb8
0xe1c
0x108e
0x10ce
0x183e
0x185a
0x18f9
0x1939
0x2663
0x268c
0x295e
0x2999
0x29c6
0x305e
0x30d9
0x30f1
0x3312
0x397f
0x39ed
0x400b
