0xc30
0xcd8
0xd5a
0xe0b
0xea7
0x1140
0x17e0
0x18c7
0x19b0
0x1b7f
0x1c87
0x1f1a
0x1f23
0x1f2d
0x1f4e
0x1f59
0x1f63
0x1f6b
0x1f73
0x222f
0x262b
0x269c
0x26b8
0x2e54
0x41ad
0x41b4
0x41bb
0x41c2
0x41c9
0x41d0
0x41d7
0x41de
0x41e5
0x41ec
0x41f3
0x41fa
0x420d
0x4214
0x421b
0x40c8S0x3f5aS0x3d68B0x3288
0x409cS0x3f5aS0x3d68B0x3288
0x40c8S0x3f5aS0x3dbfB0x38df0x2742
0x409cS0x3f5aS0x3dbfB0x38df0x2742
0x40c8S0x3f5aS0x3dbfB0x38df0x3865B0x2e41
0x409cS0x3f5aS0x3dbfB0x38df0x3865B0x2e41
