0x739	0x6dd	0x722
0x7c0	0x764	0x7a9
0x3a670x2742	0x27420x3968	0x27420x3a4a
0x3a670x2b79	0x2b83	0x2b790x3a4a
0x3a670x399a	0x39a4	0x399a0x3e42
0x3bd0x393	0x39a_0x0	0x3930x3a9
0x3bd0x8d1	0x8d8_0x0	0x8d10x3a9
0x3a670x305eB0x184d	0x305e0x39a4V0x184d	0x305e0x3e42V0x184d
0x3a670x3865B0x2e41	0x38650x3968V0x2e41	0x38650x3a4aV0x2e41
0x3a670x4137B0x4116B0x3f5aB0x3d68B0x3288	0x3f63V0x3d68B0x3288	0x4171V0x4116V0x3f5aV0x3d68B0x3288
0x3a670x4137B0x4116B0x3f5aB0x3dbfB0x38df0x2742	0x3f63V0x3dbfB0x38df0x2742	0x4171V0x4116V0x3f5aV0x3dbfB0x38df0x2742
0x3a670x4137B0x4116B0x3f5aB0x3dbfB0x38df0x3865B0x2e41	0x3f63V0x3dbfB0x38df0x3865B0x2e41	0x4171V0x4116V0x3f5aV0x3dbfB0x38df0x3865B0x2e41
