0x142a	decimals()
0x166c	isController()
0x1c36	enterMarketFromiToken(address)
0x2127	isInterestRateModel()
0x259e	getBorrowRate(uint256,uint256,uint256)
0x27ab	beforeRepayBorrow(address,address,address,uint256)
0x289d	afterRepayBorrow(address,address,address,uint256)
0x2a81	beforeRedeem(address,address,uint256)
0x2b0f	afterRedeem(address,address,uint256,uint256)
0x2c74	beforeTransfer(address,address,address,uint256)
0x2cfa	afterTransfer(address,address,address,uint256)
0x2e1c	beforeMint(address,address,uint256)
0x2edd	afterMint(address,address,uint256,uint256)
0x31e0	beforeSeize(address,address,address,address,uint256)
0x326d	afterSeize(address,address,address,address,uint256)
0x3301	beforeBorrow(address,address,uint256)
0x33bd	afterBorrow(address,address,uint256)
0x3503	updateInterest()
0x3597	beforeLiquidateBorrow(address,address,address,address,uint256)
0x35e9	accrualBlockNumber()
0x36be	liquidateCalculateSeizeTokens(address,address,uint256)
0x3766	seize(address,address,uint256)
0x37f0	afterLiquidateBorrow(address,address,address,address,uint256,uint256)
0x39500x2742	balanceOf(address)
0x38b80x2742	balanceOf(address)
0x230e0x22a7	getBorrowRate(uint256,uint256,uint256)
0x230e0x2d73	balanceOf(address)
0x39500x3865S0x2e41	balanceOf(address)
0x38b80x3865S0x2e41	balanceOf(address)
0x40e1S0x3f5aS0x3d68B0x3288	transfer(address,uint256)
0x40e1S0x3f5aS0x3dbfB0x38df0x2742	transferFrom(address,address,uint256)
0x40e1S0x3f5aS0x3dbfB0x38df0x3865B0x2e41	transferFrom(address,address,uint256)
