0xfa
0x343
0x72f
0xd9e
0xffd
0x1076
0x108c
0x1657
0x1989
0x19ef
0x1db9
0x1f8f
0x2147
0x214a
0x214d
0x2150
0x2153
0x2156
0x2159
0x215c
0x215f
0x2162
0x2165
0x2168
0x216b
0x216e
0x2171
0x2174
