0x28d	0x232	0x276
0x1794	0x15dd	0x1774
0x17d3	0x165f	0x17b3
0x1868	0x15dd	0x1836
0x18a7	0x165f	0x1887
0x18e3	0x16e7	0x18c6
0x12330x1e7	0x1e47V0xfc20x1e7	0x1e70x1213
0x10a40x1e7	0x1e00V0xfc20x1e7	0x1e70x1084
0xe8c0x1e7	0x1d34V0xe1e0x1e7	0x1e70xe6c
