0x105	0x18b1ed47
0x121	0x248a9ca3
0x151	0x27d34c36
0x16d	0x2f2ff15d
0x189	0x36568abe
0x1a5	0x485cc955
0x1c1	0x51f6cf2f
0x1f6	0x768f304f
0x212	0x8824c62d
0x242	0x9010d07c
0x272	0x91d14854
0x2a2	0xa217fddf
0x2c0	0xb4c30f7b
0x2f0	0xca15c873
0x320	0xd547741f
0x33c	0xec87621c
0x2392	0x00000000
