0x3f70S0x3c69
0x3f7dS0x3c69
0x4340S0x4512S0x3f77S0x3c69
0x40b6S0x3fcfS0x3f08S0x3c69
0x40beS0x3fcfS0x3f08S0x3c69
0x56e8S0x473bS0x4031S0x3fcfS0x3f08S0x3c69
0x3f70S0x3dad
0x3f7dS0x3dad
0x4340S0x4512S0x3f77S0x3dad
0x40b6S0x3fcfS0x3f08S0x3dad
0x40beS0x3fcfS0x3f08S0x3dad
0x56e8S0x473bS0x4031S0x3fcfS0x3f08S0x3dad
