0x1272	0xe32
0x124c	0x23d
0x124f	0x289
0x1252	0x2c2
0x1255	0x382
0x1258	0x397
0x125b	0x3c1
0x123a	0xac
0x123d	0xe8
0x1240	0xfd
0x1243	0x138
0x1246	0x171
0x1249	0x20a
0x6f20x289	0x993
0x4e40x138	0x8e3
0x4e40x3c1	0x8e3
0x47f0xfd	0x87a
0x47f0x2c2	0x87a
0xa6bB0x87a	0xbe3
0x47fB0x79f	0x87a
0xa80B0x8e3	0xc2d
0x6f2B0x4ee	0x993
0x6f2B0x61c	0x993
0x6f2B0x1049	0x993
0xa3bB0x797	0xb3f
0xa43B0x797	0xb3f
0x6f2B0x10d8	0x993
