0xac	0x248a9ca3
0xe8	0x2abfc1ba
0xfd	0x2f2ff15d
0x138	0x36568abe
0x171	0x6dbf2fa0
0x20a	0x76a67a51
0x23d	0x9010d07c
0x289	0x91d14854
0x2c2	0x946d9204
0x382	0xa217fddf
0x397	0xca15c873
0x3c1	0xd547741f
0xe32	0x00000000
