0x18ca	0x18f3
0x205e	0x205e
0x2bed	0x2c6d
0x2c73	0x2cb5
0x2d8f	0x3003
0x3008	0x3246
0x324e	0x34cd
0x34d5	0x365e
0x3663	0x383e
0x3845	0x3a41
0x3a46	0x3a67
0x3a6c	0x3a6c
0x3a74	0x3a74
0x3a8b	0x3b96
0x3b99	0x3d75
0x3f03	0x3f25
0x3f2e	0x4321
0x4336	0x4511
0x4518	0x4613
0x4616	0x47ba
0x47bd	0x4aa7
0x133d	0x14900x133d
0x2088	0x21340x2088
0x2cbd	0x2d3b0x2cbd
0x2d45	0x2d870x2d45
0x133d	0x4fe40x133d
0x133d	0x50060x133d
0x2088	0x50280x2088
0x2088	0x504d0x2088
