0x384b	0x38aa
0x38a6	0x3a41
0x3935	0x393d
0x3944	0x3951
0x395f	0x3967
0x3979	0x39ea
0x3a4c	0x3a5c
0x3a50	0x3a5b
0x3a5d	0x3a67
0x3c5b	0x3c79
0x3c75	0x3c56
0x3cb6	0x3cdb
0x3cd7	0x3ce0
0x3ce9	0x3d20
0x3cf4	0x3d1f
0x3d05	0x3d0d
0x3d21	0x3d75
0x3d85	0x3e29
0x3dd8	0x3dee
0x3dea	0x3dd3
0x3dfe	0x3e1b
0x3e30	0x3e35
0x3f06	0x3f25
0x3f64	0x4046
0x3f77	0x3f7f
0x3f96	0x3fae
0x3fba	0x3fbf
0x4002	0x4007
0x4042	0x4169
0x4056	0x405e
0x4075	0x408d
0x4099	0x409e
0x40e1	0x40e6
0x4129	0x412e
0x41fb	0x4211
0x420d	0x41f6
0x4232	0x423a
0x4241	0x424e
0x4270	0x4278
0x4290	0x4298
0x42a6	0x42ae
0x42c3	0x42cb
0x42ec	0x4302
0x42fe	0x42e7
0x431c	0x4321
0x43da	0x43f8
0x43f4	0x43d5
0x4435	0x445a
0x4456	0x445f
0x4468	0x449f
0x4473	0x449e
0x4484	0x448c
0x44a0	0x4511
0x5053	0x50ea
0x5055	0x50ed
0x5057	0x50f0
0x5059	0x50f3
0x505b	0x50de
0x505d	0x50e1
0x505f	0x50e4
0x5061	0x50e7
0x5063	0x50d2
0x5065	0x50d5
0x5067	0x50d8
0x5069	0x50db
0x506b	0x50c6
0x506d	0x50c9
0x506f	0x50cc
0x5071	0x50cf
0x5073	0x50ba
0x5075	0x50bd
0x5077	0x50c0
0x5079	0x50c3
0x507b	0x50ae
0x507d	0x50b1
0x507f	0x50b4
0x5081	0x50b7
0x5083	0x50a2
0x5085	0x50a5
0x5087	0x50a8
0x5089	0x50ab
0x508b	0x5096
0x508d	0x5099
0x508f	0x509c
0x5091	0x509f
0xad90x3ec5	0x3ee20xad9
0x2d450x3ec5	0x3ee20x2d45
0xad90x3eb1	0x3e9a0xad9
0x2d450x3eb1	0x3e9a0x2d45
0xad90x3e9f	0x3eb50xad9
0x2d450x3e9f	0x3eb50x2d45
0xad90x3e4c	0x3ef00xad9
0x2d450x3e4c	0x3ef00x2d45
0xad90x2d83	0x3e430xad9
0xad90x2d48	0x2d870xad9
0xad90x2cca	0x2d3b0xad9
0x80a0x2101	0x21150x80a
0x20880x2101	0x21150x2088
0x80a0x20fc	0x21230x80a
0x20880x20fc	0x21230x2088
0x80a0x20e7	0x20fb0x80a
0x20880x20e7	0x20fb0x2088
0x80a0x20e4	0x21310x80a
0x20880x20e4	0x21310x2088
0x80a0x20df	0x504d0x80a
0x20880x20df	0x504d0x2088
0x80a0x20ca	0x20dc0x80a
0x20880x20ca	0x20dc0x2088
0x80a0x20c6	0x20e30x80a
0x20880x20c6	0x20e30x2088
0x80a0x20bc	0x50280x80a
0x20880x20bc	0x50280x2088
0x80a0x2099	0x20ab0x80a
0x20880x2099	0x20ab0x2088
0x80a0x2094	0x20b90x80a
0x20880x2094	0x20b90x2088
0x80a0x2090	0x20c00x80a
0x5120x1442	0x14590x512
0x5120x143e	0x14670x512
0x5120x143b	0x147a0x512
0x5120x1425	0x14390x512
0x5120x140c	0x141f0x512
0x5120x13e5	0x14240x512
0x5120x13b2	0x13c60x512
0x5120x13aa	0x13d40x512
0x5120x13a4	0x13e20x512
0x5120x1392	0x139f0x512
0x5120x138b	0x50060x512
0x5120x137c	0x138f0x512
0x5120x1369	0x4fe40x512
0x5120x1364	0x136d0x512
0x5120x1347	0x134c0x512
0x2ccaV0xfc8	0x2d3b0x2cbdB0xfc8
0x34dcV0x1216	0x351aB0x1216
0x34d8V0x1216	0x351fB0x1216
0x3520V0x1216	0x3580B0x1216
0x351bV0x1216	0x365eB0x1216
0x363dV0x1216	0x3645B0x1216
0x364cV0x1216	0x3659B0x1216
0x2ccaV0x2430	0x2d3b0x2cbdB0x2430
0x2ccaV0xda3	0x2d3b0x2cbdB0xda3
0x2ccaV0x1186	0x2d3b0x2cbdB0x1186
0x2ccaV0x15fe	0x2d3b0x2cbdB0x15fe
0x2ccaV0x2584	0x2d3b0x2cbdB0x2584
0x2ccaV0x2543	0x2d3b0x2cbdB0x2543
0x2ccaV0x255c	0x2d3b0x2cbdB0x255c
0x2ccaV0x259b	0x2d3b0x2cbdB0x259b
0x47f0V0x3f03	0x47f9B0x3f03
0x47fbV0x3f03	0x4806B0x3f03
0x4818V0x3f03	0x4820B0x3f03
0x4837V0x3f03	0x484fB0x3f03
0x485bV0x3f03	0x4860B0x3f03
0x48a3V0x3f03	0x48a8B0x3f03
0x49abV0x3f03	0x49b3B0x3f03
0x4974V0x3f03	0x498aB0x3f03
0x49baV0x3f03	0x49c7B0x3f03
0x49e9V0x3f03	0x49f1B0x3f03
0x4a09V0x3f03	0x4a11B0x3f03
0x4a1fV0x3f03	0x4a27B0x3f03
0x4a3cV0x3f03	0x4a44B0x3f03
0x4a95V0x3f03	0x4a9aB0x3f03
0x4a65V0x3f03	0x4a7bB0x3f03
0x4802V0x3f03	0x4aa7B0x3f03
0x4986V0x3f03	0x496fB0x3f03
0x4a77V0x3f03	0x4a60B0x3f03
0x2ccaV0x14240x512	0x2d3b0x2cbdB0x14240x512
0x2ccaV0x14670x512	0x2d3b0x2cbdB0x14670x512
0x2ccaV0x21230x80a	0x2d3b0x2cbdB0x21230x80a
0x2ccaV0x21230x2088	0x2d3b0x2cbdB0x21230x2088
0x133d0x138bV0x18e0	0x50060x133dB0x18e0
0x1347V0x18e0	0x134c0x133dB0x18e0
0x133d0x1392V0x18e0	0x139f0x133dB0x18e0
