0x3dd3	0x2c7d	0x3db6
0x3e9a0xad9	0xad90x2d4f	0xad90x3e7d
0x3e9a0x2d45	0x2d4f	0x2d450x3e7d
0x496fB0x3f03	0x4824V0x3f03	0x494fV0x3f03
