0x2348	deposit()
0x2e1d	balanceOf(address)
0x2ef5	transfer(address,uint256)
0x2fc9	transfer(address,uint256)
0x3474	addLiquidity(address,address,uint256,uint256,uint256,uint256,address,uint256)
0x3758	transfer(address,uint256)
0x3940	transfer(address,uint256)
0x3cac	transferFrom(address,address,uint256)
0x423d	swapExactTokensForTokens(uint256,uint256,address[],address,uint256)
0x442b	approve(address,uint256)
0x3648S0x1216	withdraw(address,address,uint256)
0x49b6S0x3f03	swapExactTokensForTokens(uint256,uint256,address[],address,uint256)
0x3134S0x1006	removeLiquidity(address,address,uint256,uint256,uint256,address,uint256)
