0xd4	0x6fdde03
0x157	0x95ea7b3
0x1bb	0x18160ddd
0x1d9	0x23b872dd
0x25d	0x313ce567
0x27b	0x504334c2
0x3cd	0x70a08231
0x425	0x95d89b41
0x4a8	0xa9059cbb
0x50c	0xa9ed9cb8
0x566	0xab033ea9
0x5aa	0xdd62ed3e
0x622	0xe1c7392a
0x164a	0x00000000
