0xc8	0x144
0x329	0x3f7
0x415	0x44b
0x548	0x5a0
0x60b	0x60b
0x60f	0x60f
0x618	0x618
0x632	0x632
0x638	0x665
0x282	0x1c7b
0x2a6	0x1ca0
0x2b3	0x1cc5
0x30f	0x1ced
0x31c	0x1d12
0x404	0x1d37
0x1d81	0x1d81
0x501	0x1dc8
0x516	0x1dee
0x535	0x1e14
0x5aa	0x1e3a
0x61d	0x1e5f
0x638	0x1e84
0x1ea9	0x1ea9
0x675	0x68c0x675
0x68f	0x68c0x68f
0x69a	0x68c0x69a
