0xef	0x248a9ca3
0x11e	0x2f2ff15d
0x14c	0x36568abe
0x178	0x609c92b8
0x180	0x8274664f
0x23f	0x9010d07c
0x27e	0x91d14854
0x2be	0xa217fddf
0x2c6	0xb017a30f
0x2ce	0xc4d66de8
0x2f4	0xca15c873
0x311	0xd547741f
0x33d	0xe375b64e
0x3ce	0xec87621c
0x16eb	0x00000000
