0xf9	0x9e6	0x106	0x106
0x10f	0x9bc	0x11d	0xca7
0x10f	0x9bc	0xca7	0xca7
0x144	0x980	0x152	0xcd6
0x144	0x980	0xcd6	0xcd6
0x166	0x9bc	0x174	0xd05
0x166	0x9bc	0xd05	0xd05
0x184	0x92b	0x192	0xd63
0x184	0x92b	0xd63	0xd63
0x1ad	0x338	0x1b5	0x1b5
0x1d6	0x9bc	0x1e4	0xd90
0x1d6	0x9bc	0xd90	0xd90
0x1e9	0x9bc	0x1f7	0xdbf
0x1e9	0x9bc	0xdbf	0xdbf
0x1fc	0x94d	0x20a	0xdee
0x1fc	0x94d	0xdee	0xdee
0x235	0x4b2	0xe1b	0xe1b
0x24b	0x5d6	0x258	0x258
0x2e2	0xa53	0x2f6	0x2f6
0x2e2	0xa53	0xe43	0x2f6
0x301	0xa3b	0xe67	0xe67
0x301	0xa3b	0xe8f	0xe67
0x3df	0x7b9	0x3f4	0x3f4
0x48c	0xa53	0x49b	0x49b
0x48c	0xa53	0xeb3	0x49b
0x4a5	0x5d6	0xed7	0xed7
0x69c	0x8a4	0x6a7	0x6a7
0x71f	0xa53	0x729	0x729
0x729	0xa3b	0x75f	0x75f
0x80f	0x8a4	0x81b	0x81b
0x81b	0xa3b	0x82d	0x82d
0x82d	0xa3b	0x85a	0x85a
0x93d	0x90f	0x946	0x946
0x960	0x90f	0x969	0x969
0x969	0x90f	0x977	0x977
0x995	0x90f	0x99e	0x99e
0x99e	0x90f	0x9ac	0x9ac
0x9cf	0x90f	0x9d8	0x9d8
0xa47	0xc3d	0xa4e	0xa4e
0xa5e	0xc72	0xa65	0xa65
