0xcf	0x00000000
0xd4	0x6fdde03
0x10f	0x95ea7b3
0x132	0x18160ddd
0x144	0x23b872dd
0x157	0x313ce567
0x166	0x39509351
0x179	0x5c975abb
0x184	0x70a08231
0x1ad	0x8129fc1c
0x1b7	0x95d89b41
0x1d6	0xa457c2d7
0x1e9	0xa9059cbb
0x1fc	0xdd62ed3e
