0x0	0xa
0x13	0x17
0x177	0x192
0xf5B0x1f	0x136B0x1f
0x13aB0x1f	0x145B0x1f
0x1f9B0x14eB0x1f	0x207B0x14eB0x1f
0x20aB0x14eB0x1f	0x22aB0x14eB0x1f
