0xffb	0xc00
0xfd5	0x1ea
0xfd8	0x229
0xfdb	0x269
0xfde	0x271
0xfe1	0x28e
0xfe4	0x2ba
0xfc3	0xb9
0xfc6	0xed
0xfc9	0x11c
0xfcc	0x148
0xfcf	0x174
0xfd2	0x1a2
0x5fa0x229	0x833
0x4410x148	0x706
0x4410x28e	0x706
0x3dc0x11c	0x69d
0x853B0x69d	0x99d
0x3dcB0x4e0	0x69d
0x3dcB0x4eb	0x69d
0x868B0x706	0x9e7
0x5faB0x2c2	0x833
0x5faB0x51a	0x833
0x5faB0xdd2	0x833
0x802B0x4d8	0x87d
0x80aB0x4d8	0x87d
0x5faB0xe61	0x833
