0xda
0xe1
0xe6
0x105
0x135
0x13a
0x161
0x166
0x195
0x19c
0x1c3
0x1cb
0x1d4
0x1da
0x1e0
0x1e5
0x203
0x208
0x242
0x247
0x289
0x2a7
0x2ac
