0xd4	0x6fdde03
0x151	0x95ea7b3
0x191	0x158ef93e
0x199	0x18160ddd
0x1b3	0x23b872dd
0x1e9	0x313ce567
0x207	0x39509351
0x233	0x70a08231
0x259	0x95d89b41
0x261	0x9c020061
0x289	0xa457c2d7
0x2b5	0xa9059cbb
0x2e1	0xdd62ed3e
0xc60	0x00000000
