0x38c	0xccc
0xa5a	0x144c
0x208b	0x31e
0x20f7	0xbb6
0x20fa	0xbcb
0x2097	0x517
0x20be	0x792
0x20ee	0xaee
0x20f1	0xb59
0x20f4	0xba1
0x20e8	0xa78
0x20eb	0xa8d
0x20a9	0x5e5
0x2094	0x4bd
0x20b8	0x69f
0x20e2	0xa4e
0x20e5	0xa63
0x20d9	0x9c1
0x20dc	0x9f9
0x20df	0xa0e
0x20d6	0x97b
0x20cd	0x8f8
0x20d0	0x90d
0x20d3	0x922
0x20c7	0x8c0
0x20ca	0x8e3
0x20c1	0x7d4
0x20c4	0x7e9
0x20bb	0x6df
0x20b2	0x65f
0x20b5	0x68a
0x20ac	0x635
0x20af	0x64a
0x20a0	0x5a6
0x20a3	0x5bb
0x20a6	0x5d0
0x209a	0x553
0x209d	0x568
0x208e	0x380
0x2091	0x40a
0xd770x40a	0x1545
0xd770x7e9	0x1545
0xd77B0x11bc	0x1545
