0x3fa	comptroller()
0x578	claimComp(address[],address[],bool,bool)
0x5d8	balanceOf(address)
0x135b	redeemUnderlying(uint256)
0x1be5	allowance(address,address)
0x18580x1775S0x769	mint(uint256)
0x1cf6S0x1272	exchangeRateStored()
0x14bfS0x316	balanceOf(address)
0x18580x13eeS0x316	mint(uint256)
0x19daS0x832S0x236	balanceOf(address)
0x1a4fS0x832S0x236	exchangeRateStored()
0x1ebfS0x1d400x15a8	transfer(address,uint256)
0x1ebfS0x1d400x15d4S0x1c87	approve(address,uint256)
0xabeS0x24e	balanceOf(address)
0xb43S0x24e	balanceOf(address)
0xbb3S0x24e	redeem(uint256)
0xc97S0x24e	balanceOf(address)
0x1ebfS0x1d400x992S0x24e	transfer(address,uint256)
