0x8ab
0x91b
0x9c0
0x1197
0x1298
0x13ce
0x16cd
0x189c
0x18a8
0x18f0
0x1982
0x1988
0x19d1
0x1a67
0x1a6e
0x1ab6
0x1b4c
0x1b52
0x1b9e
0x1c34
0x1c3a
0x1c83
0x1de2
0x2262
