0x6e	0x75
0xa7	0x13e
0x142	0x149
0x14a	0x3340x6d
0x154	0x15c
0x15e	0x191
0x194	0x1df
0x1e5	0x1ed
0x1ef	0x1f6
0x23c	0x244
0x246	0x279
0x27f	0x287
0x289	0x290
0x6b7	0x6be
0x6ee	0x700
0x6f2	0x6f9
0x6fc	0x711
0x704	0x70b
0x70c	0x3340x6b4
0x717	0x71e
0x753	0x810
0x811	0x819
0x815	0x8af
0x8b2	0x8ba
0x8b6	0x9a7
0x8bd	0x97a
0x9e3	0x9ef
0x9e5	0x9f2
0x9e7	0x9f5
0x9e9	0x9f8
0x9eb	0x9fb
0x9ed	0x9fe
0x6d0x34d	0x3550x6d
0x6b40x34d	0x3550x6b4
0x396V0x15c	0x39eB0x15c
0x35bV0x15c	0x362B0x15c
0x392V0x15c	0x3a3B0x15c
0x3a7V0x15c	0x3aeB0x15c
0x39fV0x15c	0x3b4B0x15c
0x3afV0x15c	0x3340x35aB0x15c
0x35a0x34dV0x15c	0x3550x35aB0x15c
0x55dV0x244	0x5f4B0x244
0x4efV0x244	0x4f6B0x244
0x526V0x244	0x6a0B0x244
0x6a4V0x244	0x6abB0x244
0x616V0x244	0x61dB0x244
0x693V0x244	0x69bB0x244
0x697V0x244	0x880B0x244
0x69cV0x244	0x6b1B0x244
0x6acV0x244	0x3340x4eeB0x244
0x4ee0x34dV0x244	0x3550x4eeB0x244
0x3f3V0x193	0x3fbB0x193
0x3b8V0x193	0x3bfB0x193
0x3efV0x193	0x4d8B0x193
0x4dcV0x193	0x4e3B0x193
0x43cV0x193	0x4d3B0x193
0x4d4V0x193	0x4e9B0x193
0x4e4V0x193	0x3340x3b7B0x193
0x3b70x34dV0x193	0x3550x3b7B0x193
