0x1d4	0x1ffc9a7
0x1fd	0x6fdde03
0x212	0x81812fc
0x232	0x95ea7b3
0x247	0x18160ddd
0x25c	0x23b872dd
0x26f	0x2f745c59
0x282	0x42842e0e
0x295	0x4f6ccce7
0x2a8	0x6352211e
0x2bb	0x6f4eaff1
0x2db	0x70a08231
0x2ee	0x715018a6
0x2f6	0x7a5d8d17
0x309	0x7ceffa58
0x32a	0x8da5cb5b
0x332	0x8f32d59b
0x33a	0x938e3d7b
0x34d	0x95d89b41
0x355	0x99e0dd7c
0x368	0xa22cb465
0x37b	0xb7ec8239
0x38e	0xb88d4fde
0x3a1	0xc0ac9983
0x3a9	0xc87b56dd
0x3bc	0xe8a3d485
0x3c4	0xe985e9c5
0x3d7	0xf0b10c36
0x3df	0xf2fde38b
0x29e3	0x00000000
