0xc9a	0x86
0xca9	0x10a
0xcac	0x11f
0xcaf	0x144
0xcb2	0x157
0xc9d	0x90
0xca0	0xc2
0xca3	0xe2
0xca6	0xf5
0x33dB0x116	0x54d
0x50dB0x1e1B0xdd	0x60e
0x50dB0x211B0xf0	0x60e
0x40dB0x152	0x54d
0x416B0x152	0x60e
