0x3f	0x49
0x8	0x10
0x3c	0x45b
0x51	0x47c
0x54	0x5e
0x542	0x548
0x544	0x54b
0x546	0x54e
0xa4V0x49	0x49dB0x49
0xfeV0x49	0x107B0x49
0x14bV0x49	0x4c5B0x49
0x91V0x49	0xb5B0x49
0xddV0x49	0x102B0x49
0x10dV0x49	0x14fB0x49
0x1d8V0x5e	0x4edB0x5e
0x1c5V0x5e	0x1e0B0x5e
0x21aV0x5e	0x222B0x5e
0x229V0x5e	0x236B0x5e
0x251V0x5e	0x25aB0x5e
0x256V0x5e	0x3a4B0x5e
0x2a0V0x5e	0x2a8B0x5e
0x3aeV0x5e	0x3b5B0x5e
0x2afV0x5e	0x2bcB0x5e
0x2d7V0x5e	0x2e0B0x5e
0x325V0x5e	0x18a0x197B0x5e
0x38eV0x2bcV0x5e	0x395B0x2bcB0x5e
0x39dV0x2bcV0x5e	0x53bB0x2bcB0x5e
0x333V0x3b	0x33aB0x3b
0x33dV0x3b	0x515B0x3b
0x418V0x33aV0x3b	0x420B0x33aB0x3b
0x357V0x50	0x35eB0x50
0x361V0x50	0x369B0x50
0x371V0x50	0x379B0x50
0x418V0x35eV0x50	0x420B0x35eB0x50
0x418V0x369V0x50	0x420B0x369B0x50
