0x0	0x50dB0x0
0x63dB0x1c7B0x10dB0x78	0x405B0x1c7B0x10dB0x78
0x4fbB0x629B0x1c7B0x10dB0x78	0x505B0x629B0x1c7B0x10dB0x78
0x4fbB0x629B0x1c7B0x10dB0x78	0x1230x4deB0x629B0x1c7B0x10dB0x78
0x4e1B0x629B0x1c7B0x10dB0x78	0x4fbB0x629B0x1c7B0x10dB0x78
0x4e1B0x629B0x1c7B0x10dB0x78	0x4ebB0x629B0x1c7B0x10dB0x78
0x4deB0x629B0x1c7B0x10dB0x78	0x4e1B0x629B0x1c7B0x10dB0x78
0x4ebB0x629B0x1c7B0x10dB0x78	0x4e1B0x629B0x1c7B0x10dB0x78
0x505B0x629B0x1c7B0x10dB0x78	0x63dB0x1c7B0x10dB0x78
0x1250x4deB0x629B0x1c7B0x10dB0x78	0x63dB0x1c7B0x10dB0x78
0x46dB0x447B0x1c7B0x10dB0x78	0x47eB0x447B0x1c7B0x10dB0x78
0x46dB0x447B0x1c7B0x10dB0x78	0x477B0x447B0x1c7B0x10dB0x78
0x47eB0x447B0x1c7B0x10dB0x78	0x48fB0x447B0x1c7B0x10dB0x78
0x47eB0x447B0x1c7B0x10dB0x78	0x487B0x447B0x1c7B0x10dB0x78
0x120eB0x447B0x1c7B0x10dB0x78	0x45aB0x1c7B0x10dB0x78
0x48fB0x447B0x1c7B0x10dB0x78	0x647B0x447B0x1c7B0x10dB0x78
0x647B0x447B0x1c7B0x10dB0x78	0x4deB0x647B0x447B0x1c7B0x10dB0x78
0x668B0x447B0x1c7B0x10dB0x78	0x2910x46dB0x447B0x1c7B0x10dB0x78
0x477B0x447B0x1c7B0x10dB0x78	0x120eB0x447B0x1c7B0x10dB0x78
0x4fbB0x647B0x447B0x1c7B0x10dB0x78	0x505B0x647B0x447B0x1c7B0x10dB0x78
0x4fbB0x647B0x447B0x1c7B0x10dB0x78	0x1230x4deB0x647B0x447B0x1c7B0x10dB0x78
0x4e1B0x647B0x447B0x1c7B0x10dB0x78	0x4fbB0x647B0x447B0x1c7B0x10dB0x78
0x4e1B0x647B0x447B0x1c7B0x10dB0x78	0x4ebB0x647B0x447B0x1c7B0x10dB0x78
0x4deB0x647B0x447B0x1c7B0x10dB0x78	0x4e1B0x647B0x447B0x1c7B0x10dB0x78
0x4ebB0x647B0x447B0x1c7B0x10dB0x78	0x4e1B0x647B0x447B0x1c7B0x10dB0x78
0x505B0x647B0x447B0x1c7B0x10dB0x78	0x668B0x447B0x1c7B0x10dB0x78
0x1250x4deB0x647B0x447B0x1c7B0x10dB0x78	0x668B0x447B0x1c7B0x10dB0x78
0x1230x4deB0x5cbB0x0	0x1250x4deB0x5cbB0x0
0x104B0x78	0x106B0x78
0x1230xedB0x78	0x1250xedB0x78
0x1230x4deB0x629B0x1c7B0x10dB0x78	0x1250x4deB0x629B0x1c7B0x10dB0x78
0x1230x4deB0x647B0x447B0x1c7B0x10dB0x78	0x1250x4deB0x647B0x447B0x1c7B0x10dB0x78
