0x124	0xc340a24
0x155	0xfb5a6b4
0x17c	0x13d033c0
0x191	0x32f289cf
0x1c6	0x38af3eed
0x1db	0x4355b9d2
0x20e	0x55291dbd
0x223	0x5b940081
0x238	0x6dbf2fa0
0x2d1	0x715018a6
0x2e6	0x728cdbca
0x33b	0x86d1a69f
0x350	0x8da5cb5b
0x365	0x96132521
0x37a	0xbe9a6555
0x38f	0xd4d89996
0x3c2	0xe1c7b27a
0x411	0xf2fde38b
0x444	0xfc0c546a
0x241c	0x00000000
