0x241a	0x241c
0x111f	0x16b3
0x17e7	0x16b3
0x1814	0x16b3
0x1832	0x1866
0x2447	0x37a
0x244a	0x38f
0x244d	0x3c2
0x2450	0x411
0x2453	0x444
0x2438	0x2d1
0x243b	0x2e6
0x243e	0x33b
0x2441	0x350
0x2444	0x365
0x2429	0x1c6
0x242c	0x1db
0x242f	0x20e
0x2432	0x223
0x2435	0x238
0x241d	0x124
0x2420	0x155
0x2423	0x17c
0x2426	0x191
0x14130x3c2	0x16b3
0x145a0x3c2	0x16b3
0x15d5B0x10be	0x176d
0x15e5B0x10be	0x1866
0x15d5B0xc01B0x22f	0x176d
0x15e5B0xc01B0x22f	0x1866
0x14130x1268B0x1073	0x16b3
0x145a0x1268B0x1073	0x16b3
