0x40	0xe1c7b27a
0x0	0x80
0x60	0x1eed
0x1f	0xbe9a6555
0x2	0x40
0x5	0x4
0x9	0x118
0xd	0x0
0x10	0xe0
0x14	0x715018a6
0x1a	0xa0
0x25	0x64
0x2a	0xbe9a6555
0x35	0xd4d89996
0x4b	0xf2fde38b
0x56	0xfc0c546a
0x66	0x715018a6
0x71	0x728cdbca
0x7c	0x86d1a69f
0x87	0x8da5cb5b
0x92	0x96132521
0x9c	0x1f11
0xa2	0x38af3eed
0xa8	0xe7
0xad	0x38af3eed
0xb8	0x4355b9d2
0xc3	0x55291dbd
0xce	0x5b940081
0xd9	0x6dbf2fa0
0xe3	0x1f35
0xe9	0xc340a24
0xf4	0xfb5a6b4
0xff	0x13d033c0
0x10a	0x32f289cf
0x114	0x1f59
0x11a	0x1f7d
0x128	0x130
0x12c	0x0
0x132	0x1fa1
0x135	0x459
0x159	0x161
0x15d	0x0
0x163	0x1fdc
0x166	0x469
0x180	0x188
0x184	0x0
0x18a	0x200d
0x18d	0x46f
0x195	0x19d
0x199	0x0
0x19f	0x203e
0x1a2	0x4
0x1a7	0x20
0x1ac	0x1b4
0x1b0	0x0
0x1b7	0x1
0x1b9	0x1
0x1bb	0xa0
0x1bd	0x10000000000000000000000000000000000000000
0x1be	0xffffffffffffffffffffffffffffffffffffffff
0x1c0	0x475
0x1ca	0x1d2
0x1ce	0x0
0x1d4	0x205f
0x1d7	0x86c
0x1df	0x1e7
0x1e3	0x0
0x1e9	0x209a
0x1ec	0x4
0x1f1	0x20
0x1f6	0x1fe
0x1fa	0x0
0x201	0x1
0x203	0x1
0x205	0xa0
0x207	0x10000000000000000000000000000000000000000
0x208	0xffffffffffffffffffffffffffffffffffffffff
0x20a	0x87b
0x212	0x21a
0x216	0x0
0x21c	0x20bb
0x21f	0x935
0x227	0x22f
0x22b	0x0
0x231	0x20dc
0x234	0xc01
0x239	0x2bd
0x23c	0x4
0x241	0x60
0x246	0x24e
0x24a	0x0
0x24f	0x1
0x251	0x1
0x253	0xa0
0x255	0x10000000000000000000000000000000000000000
0x256	0xffffffffffffffffffffffffffffffffffffffff
0x25b	0x20
0x25e	0x24
0x264	0x60
0x267	0x64
0x268	0x40
0x26b	0x44
0x26d	0x100000000
0x276	0x27e
0x27a	0x0
0x282	0x20
0x288	0x290
0x28c	0x0
0x294	0x20
0x299	0x1
0x2a0	0x100000000
