0x13b	0xd4eec8f
0x178	0x1459457a
0x19a	0x15550e31
0x1ba	0x2a56e1a2
0x1de	0x5287c2fe
0x206	0x66718524
0x226	0x715018a6
0x23b	0x71ebf66c
0x25b	0x8712d62c
0x27b	0x8da5cb5b
0x29f	0xc165dd97
0x2c1	0xc3b19592
0x2d4	0xd6d5b727
0x2f4	0xeab4fb91
0x314	0xf2fde38b
0x334	0xfe9440d7
0x3b6b	0x00000000
