0xe4d	getTokenIdsLength()
0xf95	getOwnedToken(address,uint256)
0x1385	getTokenIdByIndex(uint256)
0x15a5	createRegion(address[16],address,uint256,uint256,uint256,uint256)
0x1785	ownerOf(address[16],uint256)
0x18a7	balanceOf(address[16],address)
0x2537	getOwnedArea(address)
0x1278S0x494	deleteRegion(address[16],uint256)
0x23fcS0x9f8	setNextImagePart(address[16],uint256,uint16,uint16,uint16,uint256[])
0x268bS0xacf	checkImageInput(address[16],uint256,uint256,uint256[],bool,bool)
0x29b4S0xb8b	setupRegion(address[16],uint256,uint256,uint256[],bool,uint8[128])
0x1a9eS0x6af	updateRegionPixelPrice(address[16],uint256,uint256)
0x2167S0x891	updateRegion(address[16],uint256,uint256,uint256[],bool,bool,uint8[128],bool,address)
0x27a3S0xb46	purchase(address[16],uint256)
