0x10f4	0x1283
0x15d6	0x16a9
0x1993	0x1aa9
0x1f8b	0x2172
0x2280	0x2407
0x2553	0x2696
0x26a0	0x27ae
0x27b4	0x2820
0x2824	0x29bf
0x29e6	0x29e6
0x29fa	0x29fa
0x2a0e	0x2a9d
0x2aa1	0x2ae1
