0x8de	0x8b2	0x8c4
0xa63	0xa37	0xa49
0xb1c	0xaf0	0xb02
0xbd8	0xbac	0xbbe
0x2ee	0xc4d	0x2d1
0x75d	0x1ae1	0x740
0x83b	0x1bb8	0x81e
