0x1828	0x1281	0x1831
0x1c60	0x1f90	0x1c69
0x2376	0xdf1	0x2380
0x2e81B0x2a65B0x2159	0xdf1	0x2e8aB0x2a65B0x2159
0x2ef5B0x2a65B0x2159	0xdf1	0x2f00B0x2a65B0x2159
0x2923B0x1edb	0x2c29	0x2939B0x1edb
0x28feB0x1edb	0x2c29	0x291cB0x1edb
