0xd9c
0xfa0
0x1131
0x11f2
0x1430
0x14f9
0x1568
0x1694
0x1906
0x1b1a
0x1d37
0x2058
0x3100S0x2c29
0x30d4S0x2c29
0x2e3eS0x2a65S0x2159
0x2ec7S0x2a65S0x2159
