0x1929	0x903	0x1915
0x1d5a	0xa20	0x1d46
0xea50x52c	0x52c0xdf5	0x52c0xe85
0xea50xdf1	0xdf5	0xdf10xe85
0x2f830x2b9eB0x26f0	0x26e1	0x2f66V0x26f0
0x2f830x2be7B0x276a	0x2bf1V0x276a	0x3012V0x276a
