0x0	0xd
0x4520x7db	0x45b0x7db
0x12cc0x697	0x12cf0x697
0x12cc0x1281	0x12cf0x1281
0x12900x697	0x129a0x697
0x12900x1281	0x129a0x1281
0xe450x52c	0xea50x52c
0xe450xdf1	0xea50xdf1
0x42e0x3b3	0x4520x3b3
0x42e0x7db	0x4520x7db
0x2f53B0x26f0	0x2f830x2b9eB0x26f0
0x2f4aB0x26f0	0x2f53B0x26f0
0x2fd6B0x26f0	0x2fe1B0x26f0
0x2f830x2b9eB0x26f0	0x2f8c0x2b9eB0x26f0
0x2f9b0x2b9eB0x26f0	0x2faf0x2b9eB0x26f0
0x2faf0x2b9eB0x26f0	0x2fc80x2b9eB0x26f0
0x2ff8B0x276a	0x302fB0x276a
0x2fecB0x276a	0x2ff8B0x276a
0x2f830x2be7B0x276a	0x2f8c0x2be7B0x276a
0x2f9b0x2be7B0x276a	0x2faf0x2be7B0x276a
0x2faf0x2be7B0x276a	0x2fc80x2be7B0x276a
0x3058B0x2c29	0x305dB0x2c29
0x30a9B0x2c29	0x30c8B0x2c29
0x30e7B0x2c29	0x3128B0x2c29
0x30c8B0x2c29	0x30d1B0x2c29
0x3149B0x2c29	0x314eB0x2c29
0x314eB0x2c29	0x3159B0x2c29
0x31a5B0x2c29	0x31adB0x2c29
0x31c1B0x2c29	0x31c8B0x2c29
0x31adB0x2c29	0x31bdB0x2c29
0x31feB0x3046B0x2c29	0x322eB0x3046B0x2c29
0x322eB0x3046B0x2c29	0x3232B0x3046B0x2c29
0x2a4dB0x2159	0x2a65B0x2159
0x2b84B0x2159	0x2b8fB0x2159
0x29d8B0x2159	0x29e9B0x2159
0x29f1B0x2159	0x29f7B0x2159
0x29ffB0x2159	0x2a04B0x2159
0x2a3aB0x2159	0x2a4dB0x2159
0x2a6fB0x2159	0x2a78B0x2159
0x2aaeB0x2159	0x2b84B0x2159
0x29f7B0x2159	0x29ffB0x2159
0x2cfbB0x2a65B0x2159	0x2d13B0x2a65B0x2159
0x2c86B0x2a65B0x2159	0x2c97B0x2a65B0x2159
0x2c9fB0x2a65B0x2159	0x2ca5B0x2a65B0x2159
0x2cadB0x2a65B0x2159	0x2cb2B0x2a65B0x2159
0x2ce8B0x2a65B0x2159	0x2cfbB0x2a65B0x2159
0x2d13B0x2a65B0x2159	0x2d22B0x2a65B0x2159
0x2d58B0x2a65B0x2159	0x2d67B0x2a65B0x2159
0x2d9dB0x2a65B0x2159	0x2e66B0x2a65B0x2159
0x2e66B0x2a65B0x2159	0x2e81B0x2a65B0x2159
0x2f00B0x2a65B0x2159	0x2f3bB0x2a65B0x2159
0x2ca5B0x2a65B0x2159	0x2cadB0x2a65B0x2159
0x2940B0x1edb	0x2969B0x1edb
0x2999B0x1edb	0x29c5B0x1edb
0x28c0B0x1edb	0x28c8B0x1edb
0x291cB0x1edb	0x2923B0x1edb
0x2939B0x1edb	0x2940B0x1edb
0x298aB0x1edb	0x298fB0x1edb
0x298fB0x1edb	0x2999B0x1edb
0x29d0B0x1edb	0x29d2B0x1edb
0x29ceB0x1edb	0x29d0B0x1edb
