0xce1
0xe3b
0xe4f
0xe60
0x1011
0x1330
0x14c4
0x14d4
0x14e7
0x153c
0x17c1
0x188c
0x18a6
0x1930
0x1a52
0x1a62
0x1a75
0x1aca
0x1ce1
0x1d57
0x1d71
0x1dda
