0x3f4	0x1ffc9a7
0x42a	0x71feca3
0x44c	0xc340a24
0x46e	0xe5641e6
0x490	0x1c58ce14
0x4b0	0x22867d78
0x4d0	0x24a9d853
0x4e5	0x2ffd889b
0x4fa	0x314568d9
0x51a	0x331d9364
0x53a	0x38bd678a
0x55a	0x3a55f85e
0x57a	0x3d30fb48
0x59a	0x3d581d8e
0x5af	0x442eacac
0x5cf	0x48d6bbc2
0x5ef	0x4b8a3529
0x60f	0x4d547ada
0x624	0x4df890f6
0x644	0x519f5099
0x674	0x5787d291
0x694	0x62c4025a
0x6b4	0x630dc7cb
0x6c9	0x6680ac0b
0x6e9	0x68eb4ba8
0x709	0x6d6af334
0x737	0x6fe4d411
0x757	0x710a9f68
0x76a	0x72c27b62
0x78a	0x76636722
0x79f	0x79bd1eac
0x7bf	0x7adbf973
0x7df	0x7b79413a
0x810	0x7cbdae6f
0x830	0x7dc0d1d0
0x845	0x80c3b8c2
0x877	0x82a2fb9c
0x897	0x85986a0e
0x8b7	0x86c0dc88
0x8d7	0x88b6f060
0x8ec	0x899346c7
0x901	0x92ff1ad9
0x916	0x966b2cc1
0x936	0x99fbab88
0x967	0xa20a5906
0x987	0xb60dae12
0x9a7	0xbc197c81
0x9d4	0xbd47f694
0x9f4	0xc1c0e9c4
0xa09	0xc26f6d44
0xa29	0xc89be3d9
0xa49	0xc9a4bb3f
0xa5e	0xcd6dc687
0xa7e	0xd05e44a4
0xa93	0xd2ffc9f3
0xaa8	0xd44b11f0
0xac8	0xd7ac71ff
0xadd	0xdaf9c210
0xafd	0xdd6f3c70
0xb1d	0xe3056a34
0xb32	0xe58bb639
0xb47	0xe660cc08
0xb67	0xed963a17
0xb87	0xf235757f
0xba7	0xf23a6e61
0xbc7	0xf621cc48
0xbe7	0xf70aedd9
0xbfc	0xfc5d28a8
0x59d3	0x00000000
