0xc1c	0xc3a
0xed9	0xed9
0x1211	0x1241
0x142e	0x142e
0x199f	0x199f
0x19d3	0x1b0a
0x1e66	0x1ffb
0x2e4d	0x3158
0x320e	0x33a1
0x369b	0x36d0
0x3754	0x3776
0x37d2	0x3964
0x3c4e	0x3e23
0x3e2d	0x3e57
0x3e75	0x3e75
0x3e7b	0x3e86
0x3e8c	0x3f70
0x4002	0x4123
0x447f	0x4525
0x45b2	0x45cf
0x45dd	0x45fc
0x4694	0x46f0
0x46fc	0x478c
0x4867	0x4878
0x487f	0x4890
0x49ae	0x49c6
0x49f6	0x49f6
0x4a0a	0x4a0a
0x4a2e	0x4a2e
0x4a66	0x4a66
0x4a80	0x4a80
0x4afe	0x4afe
0x4b65	0x4be6
0x4bf3	0x4bf3
0x4d67	0x4d67
0x4df3	0x4df3
0x4eb5	0x4eb5
0x4fac	0x4fac
0x4fd4	0x4fd4
0x5003	0x5003
0x5109	0x5109
0x5137	0x5137
0x5161	0x5161
0x51ba	0x51ba
0x542a	0x542a
0x553d	0x553d
0x55b3	0x55b3
0x569f	0x569f
0x56a8	0x56a8
0x570b	0x5729
0x5750	0x5774
0x10d4	0x63be
0x18cf	0x6725
0x274c	0x6bc8
0x2aa5	0x6cd8
0x2d4d	0x6d4a
0x2d4d	0x6d96
0x320e	0x6ed4
0x36de	0x7012
0x36de	0x705c
0x377c	0x70a9
0x3b15	0x71e5
0x3bd8	0x725f
0x3bf9	0x72da
0x3e8c	0x73c4
0x3f73	0x73e6
0x3f73	0x740a
0x412c	0x747e
0x428b	0x74a8
0x42a2	0x751f
0x4399	0x7571
0x43a4	0x7596
0x43ec	0x75bc
0x4447	0x75e2
0x4539	0x760c
0x4611	0x763d
0x4897	0x766e
0x4ada	0x7698
0x5750	0x76bf
0x577c	0x76e4
0x5791	0x7706
0x1b7a	0x1cb20x1b7a
0x26d8	0x26f00x26d8
0x3af0	0x26f00x3af0
0x3bf9	0x26f00x3bf9
0x3c33	0x26f00x3c33
0x442b	0x26f00x442b
0x4807	0x26f00x4807
0x4823	0x26f00x4823
0x483f	0x26f00x483f
0x4c77	0x26f00x4c77
0x3972	0x3ae90x3972
0x1b7a	0x67e50x1b7a
0x1b7a	0x680a0x1b7a
0x34cc	0x6f200x34cc
