0x8d	0x158ef93e
0xa9	0x485cc955
0xd9	0x55565fce
0xff	0x5aef7de6
0x123	0x8f847b12
0x165	0xed7f8b7b
0x1a7	0xf887ea40
0x1af	0xfe029156
0x33ad	0x00000000
