0x1050	5	0x289	1
0x1050	5	0x107d	1
0x1050	5	0x1165	1
0x1050	5	0x1268	1
0x1050	5	0x136b	1
0x14e6	9	0x46a	1
0x14e6	9	0x527	1
0x14e6	9	0x64f	1
0x14e6	9	0x7a7	1
0x14e6	9	0x848	1
0x14e6	9	0xe89	1
0x14e6	9	0x1419	1
0x14e6	9	0x153d	1
0x14e6	9	0x15e8	1
0x175e	4	0x17af	1
0x175e	4	0x17db	1
0x175e	4	0x17e9	1
0x175e	4	0x1828	1
0x1851	3	0xac1	1
0x1851	3	0xd35	1
0x1851	3	0xded	1
0x1c19	10	0x1e9a	4
0x1dba	4	0x5d4	1
0x1dba	4	0x8f5	1
0x1dba	4	0xb63	1
0x1dba	4	0x15ae	1
0x1dfa	6	0x4c7	1
0x1dfa	6	0x584	1
0x1dfa	6	0x6ac	1
0x1dfa	6	0x804	1
0x1dfa	6	0x8a5	1
0x1dfa	6	0xee6	1
0x1e1a	5	0x2ad	1
0x1e1a	5	0x10a1	1
0x1e1a	5	0x1189	1
0x1e1a	5	0x128c	1
0x1e1a	5	0x138f	1
0x1e9a	4	0x131	1
0x1e9a	4	0x177	1
0x1e9a	4	0x357	1
0x1e9a	4	0x60e	1
0x1ee9	23	0x1ab3	6
