0xef	0x14cd5a81
0x10d	0x1794bb3c
0x129	0x2459cbce
0x147	0x35e75aab
0x165	0x3f4ba83a
0x16f	0x4c255c97
0x18d	0x5c975abb
0x1ab	0x70e61ec4
0x1c7	0x715018a6
0x1d1	0x8456cb59
0x1db	0x8980f11f
0x1f7	0x8da5cb5b
0x215	0x94b918de
0x231	0xf2fde38b
0x209e	0x00000000
