0xd79	0xd7b
0x3eb	0x705
0x591	0x857
0x59c	0x880
0x5a7	0x8ad
0x3a9	0x687
0x705	0x8f9
0x50b	0x687
0x857	0x8f9
0x880	0x8f9
0x8ad	0x8f9
0xd88	0x181
0xd8b	0x1ac
0xd8e	0x1df
0xd91	0x212
0xd94	0x245
0xd7c	0xa1
0xd7f	0xd4
0xd82	0x11b
0xd85	0x14e
0x73bB0x3fc	0x8f9
0x764B0x407	0x8f9
0x764B0x41b	0x8f9
0x764B0x8e3	0x8f9
0x764B0x7320x705	0x8f9
0x764B0x7320x857	0x8f9
0x764B0x7320x880	0x8f9
