0xa1	0x900f010
0xd4	0xfea4e66
0x11b	0x24d7806c
0x14e	0x2f54bf6e
0x181	0x54fd4d50
0x1ac	0xc4d66de8
0x1df	0xcd784d1b
0x212	0xfd8ab482
0x245	0xfe575a87
0xd7b	0x00000000
