0x1da
0x1f6
0x21a
0x268
0x36a
0x3ad
0x3ef
0x6c8
0x792
0x872
0x922
0x9e4
0xb89
0xcb4
0xce3
0xcfd
0xf26
0xfc2
0x106b
0x10dd
0x1143
0x1251
0x14d7
0x1541
0x1552
0x16b0
0x17e0
0x17ff
0x1868
0x19d2
0x1e33
0x1ee3
0x1f1f
0x1fd4
0x2009
0x2088
0x20a8
0x2121
0x2160
0x217a
0x226e
0x235e
0x238d
0x23a7
0x2692
0x2698
0x2c35
0x2d47
0x2de5
0x2e72
0x2fb2
0x2fe6
0x32b7
