0x1ae	0x13a96a18
0x1ee	0x13d8c840
0x212	0x1c8b453f
0x236	0x2185f39c
0x26a	0x2c660c82
0x328	0x35233dab
0x345	0x4300f5e1
0x362	0x660da781
0x387	0x7a4ecea2
0x3c9	0x7f8e640a
0x422	0x8e5b7304
0x448	0x8f7dcfa3
0x450	0x910efae8
0x46d	0x91e54b06
0x48a	0x95b2fc53
0x598	0xbbd94c2f
0x5b5	0xc1da8db5
0x5db	0xc369488a
0x67c	0xc4d66de8
0x6a2	0xc6448410
0x6f7	0xd53090d3
0x765	0xd7693c07
0x76d	0xe4d06d82
0x775	0xe6150400
0x7a4	0xf259722e
0x7d2	0xf3dbdfe5
0x7f8	0xf4ff78bf
0x3538	0x00000000
