0xfa	0xeda85ee
0x123	0x1a9ee26f
0x136	0x4547cdd9
0x156	0x45d1cfe0
0x16b	0x5d1b55a4
0x17e	0x715018a6
0x186	0x77f32f84
0x199	0x8da5cb5b
0x1ae	0x9135b6c3
0x1c1	0xa8a9c260
0x1c9	0xac210cc7
0x1d1	0xc26ad22d
0x1e4	0xc4d66de8
0x1f7	0xf2fde38b
0x20a	0xf51c7512
0xf73	0x00000000
