0x40f	0x3e0	0x3f8
0x748	0x719	0x731
0x78e	0x75f	0x777
0x188	0xa1f	0x16b
0x63c	0x20b8	0x61f
0x1260	0x3f8	0x1243
0x1345	0x3f8	0x1328
0x15fc	0x13a3	0x15df
0x1662	0x13d9	0x1644_0x1
0x1cb6	0x1bb9	0x1c99
0x1d1c	0x1bef	0x1cfe_0x1
0x259d	0x245f	0x2580
0x2603	0x2495	0x25e5_0x1
0x2e95	0x2d57	0x2e78
0x2efb	0x2d8d	0x2edd_0x1
